facility_id,name,type,district,state,lat,lon,beds,annual_surgeries,offers_surgery,specialties,website_url,match_confidence
VF-000058,Mumbai Private #58,Private Hospital,Mumbai,Maharashtra,19.16319,73.01917,1421,3225,True,Cardiac|Paediatric Surgery|ENT|General Surgery|Obstetrics & Gynaecology|Cataract / Ophthalmology|Urology,,0.95
VF-000059,Mumbai Community #59,Community Health Centre,Mumbai,Maharashtra,18.87917,72.48865,23,0,False,,,0.999
VF-000060,Mumbai District #60,District Hospital,Mumbai,Maharashtra,19.0027,72.93793,45,0,False,,,0.87
VF-000061,Mumbai Primary #61,Primary Health Centre,Mumbai,Maharashtra,19.1796,72.92215,24,0,False,,,0.791
VF-000062,Mumbai Private #62,Private Hospital,Mumbai,Maharashtra,19.28939,72.74991,48,0,False,,,0.841
VF-000063,Mumbai Community #63,Community Health Centre,Mumbai,Maharashtra,19.01803,73.06761,59,0,False,,,0.886
VF-000064,Mumbai Community #64,Community Health Centre,Mumbai,Maharashtra,19.02861,72.75371,56,0,False,,,0.703
VF-000065,Mumbai Primary #65,Primary Health Centre,Mumbai,Maharashtra,19.00542,73.02736,4,0,False,,,0.781
VF-000066,Mumbai Primary #66,Primary Health Centre,Mumbai,Maharashtra,18.96776,72.90944,25,0,False,,,0.844
VF-000067,Mumbai Primary #67,Primary Health Centre,Mumbai,Maharashtra,18.94388,72.9696,40,0,False,,,0.899
VF-000068,Mumbai Community #68,Community Health Centre,Mumbai,Maharashtra,19.11483,73.14359,26,0,False,,,0.785
VF-000069,Mumbai Private #69,Private Hospital,Mumbai,Maharashtra,18.91297,72.76057,542,1523,True,ENT|Urology|Orthopaedics|Paediatric Surgery,,0.844
VF-000070,Mumbai Private #70,Private Hospital,Mumbai,Maharashtra,19.14784,72.90162,34,0,False,,,0.886
VF-000071,Mumbai District #71,District Hospital,Mumbai,Maharashtra,19.10087,72.68642,2,0,False,,,0.985
VF-000072,Mumbai District #72,District Hospital,Mumbai,Maharashtra,19.12361,72.5613,38,0,False,,,0.753
VF-000073,Mumbai Primary #73,Primary Health Centre,Mumbai,Maharashtra,19.33765,72.72286,47,0,False,,,0.884
VF-000074,Mumbai Medical #74,Medical College Hospital,Mumbai,Maharashtra,18.91587,72.90962,823,6727,True,Burns & Reconstruction|Obstetrics & Gynaecology|General Surgery|Cataract / Ophthalmology|Orthopaedics,,0.884
VF-000075,Mumbai Charitable #75,Charitable / Mission Hospital,Mumbai,Maharashtra,19.14352,72.80134,1578,433,True,Burns & Reconstruction|ENT|Obstetrics & Gynaecology|Cleft & Plastic|Orthopaedics|Urology,,0.757
VF-000076,Mumbai District #76,District Hospital,Mumbai,Maharashtra,18.88949,72.93547,44,0,False,,,0.931
VF-000077,Mumbai Primary #77,Primary Health Centre,Mumbai,Maharashtra,18.99557,73.0671,44,0,False,,,0.863
VF-000078,Mumbai Community #78,Community Health Centre,Mumbai,Maharashtra,18.99482,72.93872,42,0,False,,,0.996
VF-000079,Mumbai Primary #79,Primary Health Centre,Mumbai,Maharashtra,18.75993,73.08803,53,0,False,,,0.819
VF-000080,Mumbai Community #80,Community Health Centre,Mumbai,Maharashtra,19.03533,72.8395,52,0,False,,,0.918
VF-000081,Mumbai Primary #81,Primary Health Centre,Mumbai,Maharashtra,18.88023,72.96859,12,0,False,,,0.877
VF-000082,Mumbai Primary #82,Primary Health Centre,Mumbai,Maharashtra,19.0574,72.9576,51,0,False,,,0.687
VF-000083,Mumbai Primary #83,Primary Health Centre,Mumbai,Maharashtra,19.02485,73.11907,42,0,False,,,0.999
VF-000084,Mumbai Primary #84,Primary Health Centre,Mumbai,Maharashtra,19.15293,72.91884,57,0,False,,,0.981
VF-000085,Mumbai Community #85,Community Health Centre,Mumbai,Maharashtra,18.85435,72.8747,38,0,False,,,0.826
VF-000086,Mumbai Private #86,Private Hospital,Mumbai,Maharashtra,18.85256,72.66535,19,0,False,,,0.604
VF-000087,Mumbai Community #87,Community Health Centre,Mumbai,Maharashtra,19.11168,72.78348,32,0,False,,,0.944
VF-000088,Mumbai Primary #88,Primary Health Centre,Mumbai,Maharashtra,19.38812,72.93204,35,0,False,,,0.942
VF-000089,Mumbai Community #89,Community Health Centre,Mumbai,Maharashtra,19.23998,72.80871,47,0,False,,,0.81
VF-000090,Mumbai District #90,District Hospital,Mumbai,Maharashtra,19.01324,72.9806,1589,5693,True,Burns & Reconstruction|Paediatric Surgery|Cleft & Plastic|General Surgery|Cardiac,,0.782
VF-000091,Mumbai Primary #91,Primary Health Centre,Mumbai,Maharashtra,18.94976,72.75711,7,0,False,,,0.971
VF-000092,Mumbai Primary #92,Primary Health Centre,Mumbai,Maharashtra,18.94096,72.86954,54,0,False,,,0.769
VF-000093,Mumbai Primary #93,Primary Health Centre,Mumbai,Maharashtra,19.04698,72.96182,787,6470,True,Urology|Paediatric Surgery|Burns & Reconstruction|Cardiac|Cleft & Plastic|General Surgery|Obstetrics & Gynaecology|Cataract / Ophthalmology,,0.85
VF-000094,Mumbai Primary #94,Primary Health Centre,Mumbai,Maharashtra,18.77722,72.68094,21,0,False,,,0.888
VF-000095,Mumbai Medical #95,Medical College Hospital,Mumbai,Maharashtra,18.92664,72.73034,1177,4785,True,Cardiac|Cleft & Plastic|General Surgery|Burns & Reconstruction|Paediatric Surgery|Obstetrics & Gynaecology|Urology|Cataract / Ophthalmology,,0.96
VF-000096,Mumbai Community #96,Community Health Centre,Mumbai,Maharashtra,18.9423,72.63336,1420,2280,True,Orthopaedics|Cleft & Plastic|Urology|General Surgery,,0.83
VF-000097,Mumbai Community #0,Community Health Centre,Mumbai,Maharashtra,19.34439,73.11086,16,0,False,,,0.768
VF-000098,Mumbai Primary #1,Primary Health Centre,Mumbai,Maharashtra,19.15979,72.93497,31,0,False,,,0.934
VF-000099,Mumbai Primary #2,Primary Health Centre,Mumbai,Maharashtra,19.12064,72.64335,1291,1158,True,Obstetrics & Gynaecology|ENT|Cleft & Plastic|Urology|Paediatric Surgery|Cardiac|General Surgery|Orthopaedics,,0.751
VF-000100,Mumbai Primary #3,Primary Health Centre,Mumbai,Maharashtra,19.08391,72.70635,109,3468,True,Orthopaedics|Obstetrics & Gynaecology|ENT|Cataract / Ophthalmology|Cardiac|General Surgery|Burns & Reconstruction|Cleft & Plastic|Urology,,0.911
VF-000101,Mumbai District #4,District Hospital,Mumbai,Maharashtra,18.84194,72.86093,36,0,False,,,0.966
VF-000102,Mumbai Private #5,Private Hospital,Mumbai,Maharashtra,19.0811,72.7663,32,0,False,,,0.898
VF-000103,Mumbai District #6,District Hospital,Mumbai,Maharashtra,19.2201,72.85968,24,0,False,,,0.828
VF-000104,Mumbai Community #7,Community Health Centre,Mumbai,Maharashtra,19.04953,72.8013,26,0,False,,,0.797
VF-000105,Mumbai Private #8,Private Hospital,Mumbai,Maharashtra,19.02334,72.90898,1524,6604,True,Obstetrics & Gynaecology|Orthopaedics|General Surgery,,0.892
VF-000106,Mumbai Primary #9,Primary Health Centre,Mumbai,Maharashtra,18.79872,72.6331,39,0,False,,,0.848
VF-000107,Mumbai District #10,District Hospital,Mumbai,Maharashtra,18.72586,72.92887,23,0,False,,,0.747
VF-000108,Mumbai Private #11,Private Hospital,Mumbai,Maharashtra,18.97737,72.75984,669,4835,True,General Surgery|Orthopaedics|Burns & Reconstruction|Urology|Cataract / Ophthalmology|Cardiac|Obstetrics & Gynaecology,,0.999
VF-000109,Mumbai Community #12,Community Health Centre,Mumbai,Maharashtra,18.98335,73.00394,20,0,False,,,0.811
VF-000110,Mumbai Primary #13,Primary Health Centre,Mumbai,Maharashtra,19.08007,72.91349,21,0,False,,,0.902
VF-000111,Mumbai Primary #14,Primary Health Centre,Mumbai,Maharashtra,19.16332,72.74836,11,0,False,,,0.854
VF-000112,Mumbai Private #15,Private Hospital,Mumbai,Maharashtra,18.98515,72.98587,1088,5192,True,Obstetrics & Gynaecology|Cardiac|General Surgery|Burns & Reconstruction|Orthopaedics|Cataract / Ophthalmology,,0.664
VF-000113,Mumbai Primary #16,Primary Health Centre,Mumbai,Maharashtra,19.04705,72.86345,30,0,False,,,0.883
VF-000114,Mumbai Charitable #17,Charitable / Mission Hospital,Mumbai,Maharashtra,18.93045,72.72347,438,3523,True,General Surgery|Orthopaedics|Obstetrics & Gynaecology|Cardiac|Urology|Cleft & Plastic|Paediatric Surgery|Cataract / Ophthalmology,,0.965
VF-000115,Mumbai Community #18,Community Health Centre,Mumbai,Maharashtra,18.96304,72.93973,11,0,False,,,0.899
VF-000116,Mumbai District #19,District Hospital,Mumbai,Maharashtra,19.05669,73.08506,25,0,False,,,0.837
VF-000117,Mumbai Primary #20,Primary Health Centre,Mumbai,Maharashtra,19.08516,72.73601,8,0,False,,,0.9
VF-000118,Mumbai Community #21,Community Health Centre,Mumbai,Maharashtra,18.9945,73.00635,35,0,False,,,0.764
VF-000119,Mumbai Community #22,Community Health Centre,Mumbai,Maharashtra,19.25461,72.63062,487,3800,True,Cardiac|Cataract / Ophthalmology|Paediatric Surgery|Burns & Reconstruction,,0.843
VF-000120,Mumbai Community #23,Community Health Centre,Mumbai,Maharashtra,19.04557,72.88692,930,7372,True,Orthopaedics|Cardiac|Burns & Reconstruction|Cataract / Ophthalmology,,0.851
VF-000121,Mumbai Primary #24,Primary Health Centre,Mumbai,Maharashtra,19.18944,72.90472,14,0,False,,,0.909
VF-000122,Mumbai Community #25,Community Health Centre,Mumbai,Maharashtra,19.11391,72.8304,790,6455,True,Cardiac|General Surgery|Urology,,0.908
VF-000123,Mumbai Primary #26,Primary Health Centre,Mumbai,Maharashtra,18.98271,73.05654,10,0,False,,,0.999
VF-000124,Mumbai District #27,District Hospital,Mumbai,Maharashtra,19.12945,73.08881,32,0,False,,,0.849
VF-000125,Mumbai Primary #28,Primary Health Centre,Mumbai,Maharashtra,18.89722,72.84349,27,0,False,,,0.952
VF-000126,Mumbai Primary #29,Primary Health Centre,Mumbai,Maharashtra,19.03895,72.86309,10,0,False,,,0.76
VF-000127,Mumbai District #30,District Hospital,Mumbai,Maharashtra,19.22071,72.82298,55,0,False,,,0.904
VF-000128,Mumbai Medical #31,Medical College Hospital,Mumbai,Maharashtra,18.87548,72.90706,1642,3512,True,Cataract / Ophthalmology|Orthopaedics|Cleft & Plastic|Cardiac|Obstetrics & Gynaecology,,0.812
VF-000129,Mumbai Primary #32,Primary Health Centre,Mumbai,Maharashtra,19.26978,73.11206,32,0,False,,,0.849
VF-000130,Mumbai Community #33,Community Health Centre,Mumbai,Maharashtra,19.17645,72.89287,21,0,False,,,0.854
VF-000131,Mumbai Primary #34,Primary Health Centre,Mumbai,Maharashtra,19.0217,72.96004,26,0,False,,,0.894
VF-000132,Mumbai District #35,District Hospital,Mumbai,Maharashtra,19.0269,72.97607,474,5896,True,ENT|Burns & Reconstruction|Cardiac|Orthopaedics|Paediatric Surgery|Urology|Cataract / Ophthalmology,,0.922
VF-000133,Mumbai District #36,District Hospital,Mumbai,Maharashtra,19.1174,72.93069,131,2503,True,Cardiac|Paediatric Surgery|Cataract / Ophthalmology|ENT|Urology,,0.979
VF-000134,Mumbai Primary #37,Primary Health Centre,Mumbai,Maharashtra,19.01045,72.94056,42,0,False,,,0.959
VF-000135,Mumbai Community #38,Community Health Centre,Mumbai,Maharashtra,19.18154,72.96574,52,0,False,,,0.957
VF-000136,Mumbai Community #39,Community Health Centre,Mumbai,Maharashtra,19.08935,72.77714,25,0,False,,,0.914
VF-000137,Mumbai Private #40,Private Hospital,Mumbai,Maharashtra,19.13331,72.71433,54,0,False,,,0.871
VF-000138,Mumbai Community #41,Community Health Centre,Mumbai,Maharashtra,18.89557,73.06983,38,0,False,,,0.872
VF-000139,Mumbai Community #42,Community Health Centre,Mumbai,Maharashtra,19.05587,73.06748,18,0,False,,,0.973
VF-000140,Mumbai Primary #43,Primary Health Centre,Mumbai,Maharashtra,19.06811,72.73657,9,0,False,,,0.852
VF-000141,Mumbai District #44,District Hospital,Mumbai,Maharashtra,18.92999,72.84696,50,0,False,,,0.769
VF-000142,Mumbai Primary #45,Primary Health Centre,Mumbai,Maharashtra,19.24879,73.24501,18,0,False,,,0.884
VF-000143,Mumbai Primary #46,Primary Health Centre,Mumbai,Maharashtra,19.13267,72.88511,58,0,False,,,0.819
VF-000144,Mumbai Primary #47,Primary Health Centre,Mumbai,Maharashtra,18.87379,72.96258,31,0,False,,,0.861
VF-000145,Mumbai District #48,District Hospital,Mumbai,Maharashtra,19.09963,72.79106,34,0,False,,,0.853
VF-000146,Mumbai Primary #49,Primary Health Centre,Mumbai,Maharashtra,19.14079,73.00455,19,0,False,,,0.921
VF-000147,Mumbai Primary #50,Primary Health Centre,Mumbai,Maharashtra,19.14408,72.73325,28,0,False,,,0.724
VF-000148,Mumbai Private #51,Private Hospital,Mumbai,Maharashtra,19.24677,72.98707,43,0,False,,,0.745
VF-000149,Mumbai Private #52,Private Hospital,Mumbai,Maharashtra,19.08937,72.88735,576,5030,True,General Surgery|Cardiac|Urology|ENT|Cataract / Ophthalmology|Cleft & Plastic|Burns & Reconstruction|Obstetrics & Gynaecology,,0.999
VF-000150,Mumbai Primary #53,Primary Health Centre,Mumbai,Maharashtra,19.04405,72.60223,34,0,False,,,0.791
VF-000151,Mumbai Primary #54,Primary Health Centre,Mumbai,Maharashtra,19.05439,73.04579,33,0,False,,,0.864
VF-000152,Mumbai Community #55,Community Health Centre,Mumbai,Maharashtra,19.0765,73.10216,25,0,False,,,0.806
VF-000153,Mumbai District #56,District Hospital,Mumbai,Maharashtra,19.1664,72.93897,1522,3055,True,Cleft & Plastic|Paediatric Surgery|Burns & Reconstruction|ENT|Orthopaedics|Cataract / Ophthalmology|Urology,,0.86
VF-000154,Mumbai Charitable #57,Charitable / Mission Hospital,Mumbai,Maharashtra,18.75494,72.69128,1375,2888,True,Paediatric Surgery|ENT|Obstetrics & Gynaecology|Cataract / Ophthalmology|Cardiac,,0.819
VF-000155,Mumbai Primary #58,Primary Health Centre,Mumbai,Maharashtra,18.92545,72.62703,43,0,False,,,0.76
VF-000156,Mumbai District #59,District Hospital,Mumbai,Maharashtra,18.86637,72.77718,372,4618,True,Paediatric Surgery|ENT|Burns & Reconstruction|Obstetrics & Gynaecology|Cataract / Ophthalmology|Urology|Orthopaedics,,0.897
VF-000157,Mumbai Primary #60,Primary Health Centre,Mumbai,Maharashtra,19.05753,73.07766,53,0,False,,,0.834
VF-000158,Mumbai Primary #61,Primary Health Centre,Mumbai,Maharashtra,19.32933,73.13382,19,0,False,,,0.999
VF-000159,Mumbai Primary #62,Primary Health Centre,Mumbai,Maharashtra,18.90275,72.81331,41,0,False,,,0.85
VF-000160,Mumbai Private #63,Private Hospital,Mumbai,Maharashtra,18.98768,72.78368,201,450,True,Paediatric Surgery|Cleft & Plastic|Urology|ENT|Orthopaedics|General Surgery|Burns & Reconstruction,,0.635
VF-000161,Mumbai Primary #64,Primary Health Centre,Mumbai,Maharashtra,19.24957,72.87118,8,0,False,,,0.901
VF-000162,Mumbai Charitable #65,Charitable / Mission Hospital,Mumbai,Maharashtra,18.95798,72.94564,1620,2545,True,Urology|Cleft & Plastic|Cataract / Ophthalmology|Burns & Reconstruction,,0.869
VF-000163,Mumbai Primary #66,Primary Health Centre,Mumbai,Maharashtra,18.97218,72.88048,30,0,False,,,0.922
VF-000164,Mumbai Primary #67,Primary Health Centre,Mumbai,Maharashtra,19.24328,72.74583,40,0,False,,,0.964
VF-000165,Mumbai Community #68,Community Health Centre,Mumbai,Maharashtra,19.02201,72.64019,25,0,False,,,0.704
VF-000166,Mumbai Community #69,Community Health Centre,Mumbai,Maharashtra,19.2747,72.7726,22,0,False,,,0.797
VF-000167,Mumbai Primary #70,Primary Health Centre,Mumbai,Maharashtra,19.07095,73.10489,34,0,False,,,0.96
VF-000168,Mumbai Primary #71,Primary Health Centre,Mumbai,Maharashtra,19.18025,72.81842,32,0,False,,,0.776
VF-000169,Mumbai Private #72,Private Hospital,Mumbai,Maharashtra,19.16118,72.95476,1621,98,True,General Surgery|Paediatric Surgery|Orthopaedics|Burns & Reconstruction,,0.8
VF-000170,Mumbai District #73,District Hospital,Mumbai,Maharashtra,19.12364,72.84844,10,0,False,,,0.659
VF-000171,Mumbai Community #74,Community Health Centre,Mumbai,Maharashtra,19.08392,72.90981,51,0,False,,,0.858
VF-000172,Mumbai Primary #75,Primary Health Centre,Mumbai,Maharashtra,19.18397,72.89923,27,0,False,,,0.647
VF-000173,Mumbai Community #76,Community Health Centre,Mumbai,Maharashtra,19.18676,72.67059,46,0,False,,,0.744
VF-000174,Mumbai Community #77,Community Health Centre,Mumbai,Maharashtra,19.08301,72.60394,31,0,False,,,0.835
VF-000175,Mumbai Charitable #78,Charitable / Mission Hospital,Mumbai,Maharashtra,18.94547,73.03851,29,0,False,,,0.825
VF-000176,Mumbai Primary #79,Primary Health Centre,Mumbai,Maharashtra,19.1814,72.78856,42,0,False,,,0.999
VF-000177,Mumbai Primary #80,Primary Health Centre,Mumbai,Maharashtra,19.12526,72.68246,19,0,False,,,0.784
VF-000178,Mumbai District #81,District Hospital,Mumbai,Maharashtra,19.07309,72.67226,184,3962,True,Paediatric Surgery|Urology|Burns & Reconstruction|Orthopaedics|Cleft & Plastic|General Surgery,,0.887
VF-000179,Mumbai Private #82,Private Hospital,Mumbai,Maharashtra,19.31959,72.93838,56,0,False,,,0.999
VF-000180,Mumbai Community #83,Community Health Centre,Mumbai,Maharashtra,18.97148,72.93304,1497,3023,True,Urology|Cataract / Ophthalmology|General Surgery|Orthopaedics|Cardiac|ENT,,0.916
VF-000181,Mumbai Private #84,Private Hospital,Mumbai,Maharashtra,19.12219,73.1276,307,7441,True,Urology|Cataract / Ophthalmology|Burns & Reconstruction|ENT|Cardiac|Paediatric Surgery,,0.946
VF-000182,Mumbai Primary #85,Primary Health Centre,Mumbai,Maharashtra,19.12538,72.72936,41,0,False,,,0.956
VF-000183,Mumbai Private #86,Private Hospital,Mumbai,Maharashtra,19.18461,72.93004,52,0,False,,,0.858
VF-000184,Mumbai District #87,District Hospital,Mumbai,Maharashtra,19.14885,72.90022,14,0,False,,,0.983
VF-000185,Mumbai Community #88,Community Health Centre,Mumbai,Maharashtra,19.03442,72.85543,58,0,False,,,0.869
VF-000186,Mumbai Primary #89,Primary Health Centre,Mumbai,Maharashtra,18.93366,72.92107,13,0,False,,,0.999
VF-000187,Mumbai Primary #90,Primary Health Centre,Mumbai,Maharashtra,19.13655,72.63187,55,0,False,,,0.92
VF-000188,Mumbai Community #91,Community Health Centre,Mumbai,Maharashtra,19.1514,72.69231,34,0,False,,,0.84
VF-000189,Mumbai Primary #92,Primary Health Centre,Mumbai,Maharashtra,18.99993,72.968,4,0,False,,,0.925
VF-000190,Mumbai Community #93,Community Health Centre,Mumbai,Maharashtra,19.14323,72.82213,39,0,False,,,0.986
VF-000191,Mumbai Primary #94,Primary Health Centre,Mumbai,Maharashtra,18.96437,73.16903,52,0,False,,,0.957
VF-000192,Mumbai Primary #95,Primary Health Centre,Mumbai,Maharashtra,19.04754,72.84957,37,0,False,,,0.878
VF-000193,Mumbai District #96,District Hospital,Mumbai,Maharashtra,19.184,72.99767,20,0,False,,,0.935
VF-000194,Mumbai Medical #0,Medical College Hospital,Mumbai,Maharashtra,18.9543,72.76327,713,7476,True,Burns & Reconstruction|Cardiac|Orthopaedics|Obstetrics & Gynaecology|Paediatric Surgery|Cataract / Ophthalmology,,0.721
VF-000195,Mumbai Primary #1,Primary Health Centre,Mumbai,Maharashtra,19.05713,72.915,5,0,False,,,0.999
VF-000196,Mumbai Private #2,Private Hospital,Mumbai,Maharashtra,18.99829,72.83435,43,0,False,,,0.82
